datetime,total
01.01.2005 00:00:00,
01.01.2005 01:00:00,154139.8084
01.01.2005 02:00:00,157818.3593
01.01.2005 03:00:00,149310.6991
01.01.2005 04:00:00,138282.038
01.01.2005 05:00:00,132032.7479
01.01.2005 06:00:00,129192.5992
01.01.2005 07:00:00,131026.2086
01.01.2005 08:00:00,138039.5193
01.01.2005 09:00:00,158871.5073
01.01.2005 10:00:00,189732.5781
01.01.2005 11:00:00,213830.1834
01.01.2005 12:00:00,219683.5242
01.01.2005 13:00:00,216533.6993
01.01.2005 14:00:00,212717.9124
01.01.2005 15:00:00,202339.185
01.01.2005 16:00:00,200407.3877
01.01.2005 17:00:00,197159.434
01.01.2005 18:00:00,197123.4646
01.01.2005 19:00:00,198566.5352
01.01.2005 20:00:00,194656.6294
01.01.2005 21:00:00,196617.2287
01.01.2005 22:00:00,200878.3223
01.01.2005 23:00:00,200139.8805
02.01.2005 00:00:00,171759.8021
02.01.2005 01:00:00,145727.1639
02.01.2005 02:00:00,127815.0273
02.01.2005 03:00:00,120269.1808
02.01.2005 04:00:00,117394.615
02.01.2005 05:00:00,116875.9214
02.01.2005 06:00:00,124875.7971
02.01.2005 07:00:00,135028.0479
02.01.2005 08:00:00,152747.3307
02.01.2005 09:00:00,191486.7004
02.01.2005 10:00:00,228577.9686
02.01.2005 11:00:00,247587.6366
02.01.2005 12:00:00,245732.0103
02.01.2005 13:00:00,236009.4372
02.01.2005 14:00:00,224998.7023
02.01.2005 15:00:00,209800.0978
02.01.2005 16:00:00,208993.813
02.01.2005 17:00:00,206672.5069
02.01.2005 18:00:00,205666.1436
02.01.2005 19:00:00,205673.7704
02.01.2005 20:00:00,204177.8307
02.01.2005 21:00:00,208002.673
02.01.2005 22:00:00,208652.4106
02.01.2005 23:00:00,191085.4249
03.01.2005 00:00:00,178704.3016
03.01.2005 01:00:00,147062.9467
03.01.2005 02:00:00,125195.4602
03.01.2005 03:00:00,116742.4992
03.01.2005 04:00:00,112830.3312
03.01.2005 05:00:00,115937.2446
03.01.2005 06:00:00,127810.1056
03.01.2005 07:00:00,139731.9345
03.01.2005 08:00:00,163135.703
03.01.2005 09:00:00,200893.202
03.01.2005 10:00:00,234579.7723
03.01.2005 11:00:00,247979.92
03.01.2005 12:00:00,245141.6684
03.01.2005 13:00:00,239955.0389
03.01.2005 14:00:00,227610.6774
03.01.2005 15:00:00,218838.8412
03.01.2005 16:00:00,215662.5281
03.01.2005 17:00:00,215958.0955
03.01.2005 18:00:00,207991.194
03.01.2005 19:00:00,212778.9856
